zaman_ms,irtifa_m,basinc_hPa,ivme_x_g,ivme_y_g,ivme_z_g,sicaklik_C,durum
44100,2413.11,674.34,0.026,0.022,0.967,3.49,5
44200,2410.07,674.48,0.056,-0.014,0.94,3.56,5
44300,2408.17,674.87,-0.1,0.013,0.827,3.19,5
44400,2405.68,675.08,-0.056,-0.048,0.927,3.73,5
44500,2401.96,675.17,-0.054,0.059,0.831,3.72,5
44600,2401.07,675.46,-0.053,-0.071,1.078,3.59,5
44700,2398.05,675.63,0.012,-0.069,1.04,3.42,5
44800,4800.0,675.82,-0.105,-0.12,0.781,3.46,5
44900,2393.29,676.12,0.027,0.08,1.005,3.61,5
45000,2392.08,676.23,-0.062,0.003,1.189,3.7,5
45100,2388.68,676.52,0.009,0.035,1.049,3.44,5
45200,2387.58,676.61,-0.055,-0.013,0.935,3.54,5
45300,2383.95,676.94,-0.017,0.002,1.03,3.35,5
45400,2380.81,677.05,0.047,-0.085,0.871,3.35,5
45500,2378.04,677.29,0.005,0.008,0.891,3.61,5
45600,2377.63,677.49,-0.142,0.03,1.077,3.63,5
45700,2373.4,677.67,0.035,0.045,0.872,3.62,5
45800,2372.13,678.0,-0.036,-0.063,1.146,3.82,5
45900,2369.27,678.08,0.022,0.066,1.012,3.51,5
46000,2365.9,678.31,-0.059,0.007,0.993,3.82,5
46100,2364.14,678.44,0.051,-0.018,0.998,3.75,5
46200,2362.76,678.61,-0.057,0.019,1.134,3.69,5
46300,2360.6,678.88,0.009,0.057,1.147,3.51,5
46400,2356.14,679.09,-0.031,-0.036,0.826,3.67,5
46500,2354.11,679.28,0.023,0.001,0.899,3.68,5
46600,2352.23,679.45,0.001,0.06,0.993,3.82,5
46700,2350.17,679.71,-0.056,-0.058,0.99,3.86,5
46800,2348.01,679.85,-0.015,-0.051,0.973,4.04,5
46900,2345.41,680.07,0.035,0.084,0.874,3.91,5
47000,2342.39,680.3,0.059,0.021,0.986,3.75,5
47100,2340.84,680.63,-0.008,-0.053,0.965,3.87,5
47200,2337.31,680.74,-0.043,0.071,1.122,3.77,5
47300,2336.82,680.92,0.047,-0.098,0.905,3.94,5
47400,2333.42,681.2,-0.075,-0.006,0.806,3.74,5
47500,2330.3,681.3,-0.003,0.004,0.894,3.76,5
47600,2329.17,681.6,-0.001,0.006,0.951,3.88,5
47700,2325.81,681.68,-0.039,0.007,0.852,4.07,5
47800,2323.33,681.98,-0.085,0.084,0.931,4.0,5
47900,2320.88,682.13,-0.076,0.005,1.065,3.83,5
48000,2319.25,682.32,0.042,0.022,1.036,4.04,5
48100,2316.0,682.53,0.011,0.055,1.031,3.88,5
48200,2313.33,682.83,0.07,0.083,1.037,3.85,5
48300,2311.39,683.0,0.066,-0.123,1.003,4.01,5
48400,2309.63,683.14,0.046,0.015,1.012,3.99,5
48500,2306.88,683.41,-0.065,-0.018,0.943,4.0,5
48600,2303.38,683.61,0.058,-0.036,0.98,3.91,5
48700,2301.9,683.85,-0.029,0.031,0.984,3.95,5
48800,2298.66,683.96,0.04,-0.035,0.952,3.83,5
48900,2296.89,684.21,-0.141,-0.041,0.972,4.17,5
49000,2295.21,684.31,0.04,0.057,1.034,4.12,5
49100,2292.16,684.62,-0.043,0.005,1.023,4.13,5
49200,2289.38,684.88,0.002,-0.001,1.064,4.25,5
49300,2287.05,685.01,-0.018,-0.045,0.959,4.23,5
49400,2284.78,685.19,0.097,-0.065,1.204,4.1,5
49500,2281.99,685.41,0.098,0.008,1.038,4.07,5
49600,2280.83,685.68,-0.009,0.004,1.055,4.23,5
49700,2277.68,685.8,-0.084,0.041,0.899,4.08,5
49800,2276.84,686.05,-0.004,0.016,1.027,4.29,5
49900,2272.67,686.31,-0.004,-0.04,1.111,4.61,5
50000,2271.47,686.46,-0.077,0.028,0.979,4.21,5
50100,2267.37,686.69,0.027,0.017,1.139,4.29,5
50200,2266.99,686.89,0.067,-0.013,0.96,4.38,5
50300,2264.61,687.22,0.055,-0.066,0.876,3.96,5
50400,2262.32,687.35,-0.047,-0.062,0.911,4.47,5
50500,2259.76,687.47,0.007,-0.034,1.035,4.27,5
50600,2256.81,687.68,-0.006,-0.043,1.027,4.6,5
50700,2254.55,687.91,-0.045,-0.051,1.16,4.17,5
50800,-1200.0,688.05,-0.009,0.044,1.113,4.4,5
50900,2249.47,688.3,0.01,0.009,1.035,4.43,5
51000,2247.11,688.53,0.002,-0.087,1.099,4.51,5
51100,2245.53,688.79,0.027,0.036,1.109,4.46,5
51200,2241.18,689.02,-0.007,0.03,0.895,4.5,5
51300,2239.96,689.04,-0.011,-0.064,0.939,4.47,5
51400,2237.37,689.27,-0.051,-0.008,1.009,4.5,5
51500,2235.65,689.56,0.082,0.036,0.912,4.56,5
51600,2232.31,689.81,-0.016,-0.093,0.966,4.53,5
51700,2230.48,690.08,-0.074,0.089,1.068,4.51,5
51800,2227.7,690.21,-0.001,-0.022,0.868,4.4,5
51900,2225.59,690.44,-0.038,0.067,1.153,4.55,5
52000,2222.06,690.72,0.032,0.062,1.106,4.32,5
52100,2220.44,690.85,-0.041,-0.151,1.038,4.52,5
52200,2217.53,690.99,-0.018,-0.036,1.083,4.54,5
52300,2215.24,691.2,0.077,-0.012,0.934,4.62,5
52400,2213.25,691.45,0.032,0.038,1.075,4.41,5
52500,2210.46,691.67,0.065,-0.018,1.021,4.69,5
52600,2209.28,691.82,-0.034,-0.043,1.024,4.53,5
52700,2206.69,692.06,-0.008,-0.042,0.948,4.5,5
52800,2203.73,692.25,0.009,0.031,0.944,4.52,5
52900,2201.15,692.5,0.085,0.077,1.098,4.71,5
53000,2198.49,692.68,-0.012,-0.023,1.068,4.77,5
53100,2195.29,692.93,0.021,0.041,0.872,4.79,5
53200,2193.74,693.03,0.089,-0.047,1.023,4.56,5
53300,2192.37,693.32,0.021,-0.046,0.966,4.63,5
53400,2188.82,693.58,0.02,0.067,1.019,4.66,5
53500,2187.0,693.77,0.027,-0.035,0.872,4.72,5
53600,2184.86,693.92,0.036,0.022,0.958,4.82,5
53700,2182.1,694.14,-0.038,-0.065,0.928,4.8,5
53800,2179.26,694.41,0.033,-0.075,1.068,4.84,5
53900,2176.72,694.45,-0.015,-0.011,1.014,4.88,5
54000,2175.31,694.72,0.048,-0.023,0.892,4.86,5
54100,2172.6,694.89,0.048,-0.033,1.005,4.63,5
54200,2170.95,695.13,-0.014,-0.003,1.056,4.91,5
54300,2167.39,695.38,-0.021,0.051,1.008,4.84,5
54400,2165.35,695.7,0.037,0.058,1.142,4.81,5
54500,2162.25,695.7,0.02,0.05,1.126,5.0,5
54600,2160.36,696.02,0.05,0.001,1.02,5.13,5
54700,2158.74,696.24,0.087,-0.044,1.165,4.98,5
54800,2155.72,696.43,-0.066,0.001,0.787,5.24,5
54900,2153.24,696.67,0.001,-0.063,0.902,5.1,5
55000,2150.58,696.73,0.016,-0.001,1.09,4.9,5
55100,2148.11,697.07,0.052,-0.017,0.807,4.76,5
55200,2145.77,697.21,-0.045,-0.02,1.114,4.99,5
55300,2144.03,697.47,0.065,-0.06,1.115,5.18,5
55400,2140.99,697.6,-0.093,0.025,1.063,5.06,5
55500,2138.81,697.84,0.037,-0.067,0.97,4.9,5
55600,2136.82,698.04,0.007,0.047,1.043,5.24,5
55700,2133.15,698.16,-0.029,0.006,0.943,5.42,5
55800,2131.28,698.38,0.058,-0.03,0.824,5.12,5
55900,2130.42,698.69,0.031,-0.021,1.11,5.08,5
56000,2126.42,698.81,-0.056,-0.031,1.134,5.09,5
56100,2124.56,699.1,0.033,-0.046,0.974,5.33,5
56200,2120.31,699.31,0.027,0.073,1.031,5.25,5
56300,2120.24,699.6,-0.057,-0.005,1.023,5.38,5
56400,2116.63,699.84,-0.054,-0.021,0.944,5.21,5
56500,2115.19,699.91,0.038,-0.015,1.067,5.34,5
56600,2112.51,700.12,0.003,-0.062,1.061,5.22,5
56700,2110.43,700.36,0.022,-0.038,0.999,5.42,5
56800,2107.35,700.59,-0.011,0.021,0.891,5.31,5
56900,2105.46,700.84,0.035,0.073,1.075,5.22,5
57000,2103.4,701.01,-0.139,0.087,1.035,5.37,5
57100,2099.94,701.21,-0.019,-0.042,1.029,5.4,5
57200,2098.2,701.42,0.028,0.053,1.126,5.33,5
57300,2095.47,701.74,0.049,0.061,0.968,5.43,5
57400,2092.5,701.84,-0.095,0.151,1.124,5.32,5
57500,2090.62,702.09,-0.022,0.058,1.049,5.44,5
57600,2088.56,702.26,-0.061,0.091,0.913,5.43,5
57700,2085.49,702.42,-0.032,0.055,1.04,5.83,5
57800,2083.89,702.71,-0.029,0.0,1.0,5.45,5
57900,2082.12,702.9,0.003,-0.006,0.956,5.34,5
58000,2079.61,703.13,-0.029,-0.037,0.975,5.65,5
58100,2076.23,703.28,0.026,-0.036,1.076,5.75,5
58200,2074.13,703.52,0.046,0.013,0.896,5.37,5
58300,2071.62,703.71,-0.066,0.014,1.03,5.64,5
58400,2068.72,703.88,-0.027,0.019,1.055,5.26,5
58500,2067.0,704.14,-0.097,-0.051,1.157,5.58,5
58600,2064.24,704.34,-0.016,0.044,1.042,5.68,5
58700,2062.28,704.65,0.044,0.068,0.927,5.31,5
58800,2059.57,704.6,0.039,0.056,1.081,5.64,5
58900,2057.91,705.12,0.131,0.004,0.886,5.75,5
59000,2054.54,705.24,0.016,-0.025,0.907,5.47,5
59100,2053.14,705.38,-0.035,-0.02,0.925,5.77,5
59200,2049.5,705.64,-0.099,0.078,0.932,5.69,5
59300,2047.85,705.87,0.06,0.114,1.117,6.06,5
59400,2046.27,706.05,0.024,0.118,1.077,5.54,5
59500,2041.66,706.31,-0.031,-0.006,1.126,5.7,5
59600,2040.43,706.49,-0.072,0.051,0.93,5.42,5
59700,2037.58,706.86,0.002,-0.07,0.969,5.56,5
59800,2036.46,706.89,0.007,0.057,1.021,5.82,5
59900,2033.22,707.12,-0.006,0.036,0.882,6.07,5
60000,2029.87,707.31,0.039,0.024,1.11,5.65,5
60100,2028.99,707.5,-0.017,0.045,0.834,5.61,5
60200,2026.49,707.72,-0.037,-0.106,0.935,5.67,5
60300,2023.39,707.96,-0.036,0.018,0.97,5.73,5
60400,2022.16,708.18,-0.035,-0.032,1.049,5.68,5
60500,2020.09,708.34,-0.114,-0.04,1.079,5.79,5
60600,2017.07,708.53,0.062,0.086,1.035,5.86,5
60700,2014.93,708.71,-0.016,-0.035,0.975,5.88,5
60800,2012.03,709.07,-0.025,0.008,1.085,6.15,5
60900,2009.26,709.16,0.02,-0.079,0.877,5.94,5
61000,2007.04,709.38,-0.118,-0.037,0.951,6.02,5
61100,2002.76,709.61,0.03,-0.013,1.079,6.05,5
61200,2002.63,709.92,0.039,0.033,0.905,6.01,5
61300,1999.05,710.04,-0.033,0.062,0.982,6.03,5
61400,1997.57,710.26,-0.045,0.012,1.075,6.09,5
61500,1993.87,710.57,0.061,-0.006,1.114,6.3,5
61600,1991.78,710.73,-0.012,0.026,0.982,5.82,5
61700,1990.36,710.85,0.082,-0.102,0.925,6.1,5
61800,1988.12,711.12,0.082,-0.024,1.039,5.98,5
61900,1985.12,711.31,-0.0,-0.046,1.08,5.85,5
62000,1982.8,711.57,-0.021,-0.065,0.973,6.02,5
62100,1981.49,711.74,0.145,-0.018,0.882,6.09,5
62200,1978.5,711.94,0.002,0.041,0.929,6.17,5
62300,1976.22,712.26,-0.009,-0.048,0.959,6.42,5
62400,1974.14,712.34,-0.007,0.054,0.999,6.11,5
62500,1970.84,712.61,-0.011,-0.04,1.155,6.39,5
62600,1969.21,712.77,0.012,0.035,1.015,6.18,5
62700,1965.97,713.07,0.033,-0.004,0.901,6.06,5
62800,1964.66,713.32,0.101,-0.06,1.022,6.27,5
62900,1960.55,713.46,-0.04,-0.004,1.006,6.35,5
63000,1959.1,713.6,-0.039,0.031,,6.08,5
63100,1956.57,713.88,-0.075,0.09,0.841,6.06,5
63200,1953.23,714.16,0.085,0.09,1.024,6.25,5
63300,1951.06,714.4,0.008,-0.012,0.889,6.19,5
63400,1949.56,714.49,-0.019,-0.009,0.96,6.31,5
63500,1946.59,714.75,-0.017,-0.01,0.933,6.33,5
63600,1943.35,714.95,0.032,0.002,1.019,6.51,5
63700,1941.5,715.17,0.012,-0.103,1.094,6.17,5
63800,1938.75,715.39,0.119,-0.032,0.964,6.15,5
63900,1937.87,715.58,-0.087,-0.012,0.9,6.5,5
64000,1935.08,715.78,-0.085,-0.053,1.011,6.48,5
64100,1932.43,715.92,-0.014,0.021,1.045,6.6,5
64200,1930.4,716.19,0.072,-0.048,1.046,6.42,5
64300,1927.58,716.46,-0.034,0.061,1.145,6.71,5
64400,1925.82,716.68,0.061,0.04,0.99,6.67,5
64500,1922.69,716.81,0.061,-0.006,0.819,6.53,5
64600,1920.99,717.07,0.03,0.005,1.081,6.61,5
64700,1918.61,717.24,0.047,-0.036,1.017,6.4,5
64800,1914.81,717.5,0.062,-0.001,1.039,6.52,5
64900,1913.43,717.67,0.017,-0.095,0.821,6.65,5
65000,1911.01,717.86,0.005,-0.094,1.045,6.63,5
65100,1908.62,718.2,0.044,0.032,0.988,6.5,5
65200,1905.21,718.29,-0.073,-0.031,1.029,6.8,5
65300,1903.47,718.51,0.069,0.016,1.04,6.48,5
65400,1901.43,718.78,0.064,-0.03,0.895,6.57,5
65500,1898.39,719.03,0.0,0.031,1.146,6.74,5
65600,1896.69,719.11,0.021,-0.008,1.129,6.65,5
65700,1894.33,719.43,0.047,0.033,0.959,6.49,5
65800,1890.49,719.66,0.001,0.015,0.977,6.75,5
65900,1889.45,719.93,0.02,-0.021,0.889,6.77,5
66000,1888.05,720.08,-0.031,-0.041,1.078,6.49,5
66100,1884.04,720.32,-0.01,0.01,0.885,6.68,5
66200,1882.02,720.48,0.03,0.013,1.051,6.69,5
66300,1879.38,720.78,0.064,-0.067,0.939,6.92,5
66400,1877.57,720.84,-0.028,-0.033,1.074,6.77,5
66500,1874.44,721.1,-0.105,0.084,0.934,6.69,5
66600,1872.14,721.3,0.028,-0.054,0.994,6.92,5
66700,1871.22,721.6,-0.018,-0.01,1.046,6.73,5
66800,1868.14,721.81,-0.036,0.096,0.898,7.02,5
66900,1864.77,721.98,-0.122,0.051,1.045,7.02,5
67000,1862.75,722.13,-0.036,0.04,0.956,7.1,5
67100,1860.56,722.29,0.074,0.012,1.217,7.19,5
67200,1858.21,722.62,-0.052,-0.029,1.055,6.77,5
67300,1856.31,722.79,-0.009,-0.013,0.985,6.8,5
67400,1851.87,723.05,0.035,0.035,1.011,6.8,5
67500,1850.92,723.26,0.017,0.005,0.989,7.22,5
67600,1847.73,723.52,-0.03,0.042,1.105,6.82,5
67700,1845.75,723.72,-0.02,-0.053,0.942,7.16,5
67800,1842.37,723.86,-0.011,0.066,1.058,7.14,5
67900,1841.25,724.14,0.022,-0.029,0.952,7.09,5
68000,1837.95,724.34,0.058,-0.045,0.973,6.98,5
68100,1836.02,724.55,0.044,0.006,0.964,7.03,5
68200,1833.1,724.8,0.044,0.004,1.048,7.26,5
68300,1831.93,725.09,-0.038,0.02,1.086,7.01,5
68400,1829.34,725.18,0.032,0.042,1.138,7.15,5
68500,1826.55,725.44,0.052,-0.037,0.972,7.44,5
68600,1823.61,725.68,-0.055,-0.072,1.052,7.35,5
68700,1822.93,725.9,-0.014,0.029,1.153,7.47,5
68800,1819.87,726.04,0.05,0.037,0.881,7.08,5
68900,1817.24,726.29,-0.004,0.02,1.044,7.32,5
69000,1814.74,726.48,0.019,0.046,0.792,7.22,5
69000,1814.74,726.48,0.019,0.046,0.792,7.22,5
69100,1812.92,726.81,0.025,0.015,0.985,7.15,5
69200,1809.58,726.94,0.039,0.017,0.931,7.34,5
69300,1807.87,727.12,0.02,-0.044,0.916,7.33,5
69400,1805.0,727.24,0.058,0.009,1.212,7.49,5
69500,1802.85,727.6,-0.028,0.081,0.989,7.17,5
69600,1799.71,727.83,-0.06,0.053,1.086,7.22,5
69700,1798.28,728.03,0.009,-0.047,1.023,7.32,5
69800,1795.31,728.26,-0.02,-0.031,0.992,7.19,5
69900,1792.86,728.51,0.002,0.09,0.848,7.47,5
70000,1789.84,728.67,0.01,0.02,1.032,7.43,5
70100,1787.84,728.85,0.031,-0.045,1.119,7.38,5
70200,1784.24,729.14,0.025,0.034,1.048,7.64,5
70300,1784.21,729.3,-0.094,0.033,0.942,7.3,5
70400,1782.9,729.49,0.051,-0.007,0.996,7.57,5
70500,1779.1,729.69,0.014,0.012,1.054,7.28,5
70600,1775.75,729.99,-0.037,0.034,1.022,7.59,5
70700,1773.47,730.27,-0.001,0.011,0.982,7.58,5
70800,1772.61,730.35,-0.027,0.011,1.043,7.42,5
70900,1768.99,730.57,0.015,0.075,0.982,7.54,5
71000,1766.72,730.81,-0.039,-0.02,1.022,7.66,5
71100,1764.64,731.1,-0.049,-0.045,0.954,7.45,5
71200,1762.52,731.27,0.06,-0.014,1.086,7.73,5
71300,1759.41,731.46,0.08,0.005,1.143,7.63,5
71400,1757.36,731.74,-0.023,-0.025,0.977,7.77,5
71500,1753.3,731.95,0.024,-0.138,1.097,7.88,5
71600,1752.86,732.1,-0.022,0.06,0.997,7.55,5
71700,1749.21,732.32,0.041,-0.089,1.036,7.56,5
71800,1746.89,732.51,-0.036,-0.042,0.925,7.58,5
71900,1745.43,732.78,-0.071,0.05,0.905,7.74,5
72000,1742.2,732.99,-0.05,0.049,1.025,7.78,5
72100,1740.19,733.16,-0.011,-0.042,0.975,7.88,5
72200,1738.49,733.48,0.007,0.019,0.977,7.58,5
72300,1736.05,733.58,-0.025,0.021,1.003,7.73,5
72400,1733.49,733.87,0.003,0.002,0.986,7.65,5
72500,1731.61,734.06,-0.115,-0.059,1.111,7.6,5
72600,1727.7,734.32,0.006,0.001,1.023,7.82,5
72700,1726.23,734.5,0.081,-0.101,0.914,7.68,5
72800,1724.2,734.66,0.07,-0.022,1.03,7.69,5
72900,1720.93,734.88,-0.084,0.056,0.857,7.85,5
73000,1719.51,735.17,-0.014,-0.042,0.924,7.79,5
73100,1716.22,735.41,0.027,0.066,0.958,7.66,5
73200,1713.05,735.55,0.051,0.08,1.03,7.88,5
73300,1711.7,735.82,0.015,-0.04,0.98,7.66,5
73400,1709.91,736.18,0.009,0.002,0.923,7.69,5
73500,1707.27,736.32,0.029,-0.01,0.942,7.83,5
73600,1704.17,736.41,-0.011,-0.007,0.984,8.01,5
73700,1702.8,736.67,-0.053,-0.056,0.934,7.9,5
73800,1699.71,736.96,-0.024,0.033,1.036,8.05,5
73900,1697.76,737.07,0.11,-0.078,0.922,7.96,5
74000,1695.88,737.29,0.06,-0.071,1.196,7.91,5
74100,1692.58,737.52,0.003,0.021,1.0,8.06,5
74200,1689.58,737.83,-0.035,-0.082,1.017,7.87,5
74300,1687.07,738.06,0.009,0.036,0.985,7.89,5
74400,1685.61,738.25,0.078,0.015,1.057,7.88,5
74500,1682.26,738.44,-0.047,0.026,0.972,8.1,5
74600,1680.27,738.7,0.105,0.027,1.033,8.16,5
74700,1677.56,738.84,0.025,0.017,1.017,7.89,5
74800,1676.5,739.03,0.045,0.03,1.048,7.88,5
74900,1673.75,739.36,-0.006,-0.01,0.996,8.16,5
75000,1671.3,739.44,0.155,0.032,1.128,8.04,5
75100,1668.81,739.67,-0.031,-0.002,0.823,8.17,5
75200,1665.92,739.94,0.068,0.004,1.011,8.24,5
75300,1663.51,740.3,-0.03,0.081,0.875,8.22,5
75400,1661.42,740.43,0.029,-0.037,0.919,8.29,5
75500,1659.23,740.69,-0.032,-0.044,1.087,8.37,5
75600,1655.81,740.88,-0.028,-0.034,0.924,8.31,5
75700,1654.62,741.04,0.011,0.06,0.974,8.53,5
75800,1651.56,741.31,0.015,-0.014,1.025,8.39,5
75900,1649.98,741.57,0.043,0.008,1.102,8.26,5
76000,1647.3,741.6,-0.016,0.029,0.969,8.36,5
76100,1643.67,742.0,0.045,0.065,1.045,8.27,5
76200,1641.72,742.1,-0.091,-0.04,1.069,8.11,5
76300,1639.3,742.42,-0.015,0.014,0.821,8.36,5
76400,1636.46,742.57,-0.018,0.018,1.02,8.1,5
76500,1635.7,742.88,-0.028,-0.042,0.917,8.31,5
76600,1632.91,743.12,-0.01,0.088,1.057,8.35,5
76700,1630.0,743.33,-0.008,0.088,0.843,8.68,5
76800,1627.11,743.45,-0.028,-0.077,0.928,8.07,5
76900,1625.62,743.66,-0.038,0.07,1.061,8.58,5
77000,1623.29,743.91,0.035,-0.005,1.155,8.36,5
77100,1620.95,744.12,0.06,0.055,1.143,8.31,5
77200,1617.65,744.34,-0.006,0.118,0.901,8.51,5
77300,1616.54,744.5,0.016,-0.001,0.955,8.51,5
77400,1612.64,744.84,0.071,0.037,1.012,8.55,5
77400,1612.64,744.84,0.071,0.037,1.012,8.55,5
77500,1610.28,745.04,-0.113,0.01,0.838,8.58,5
77600,1608.27,745.22,0.015,-0.01,0.852,8.91,5
77700,1605.94,745.43,0.041,0.014,1.051,8.35,5
77800,1604.47,745.68,0.017,0.061,0.824,8.66,5
77900,1601.22,745.89,0.052,-0.019,0.944,8.22,5
78000,1597.83,746.16,0.043,-0.03,1.079,8.58,5
78100,1596.17,746.35,0.008,0.036,1.08,8.7,5
78200,1594.51,746.59,-0.005,-0.001,1.04,8.74,5
78300,1591.55,746.77,0.032,0.028,0.961,8.7,5
78400,1589.0,747.0,0.022,-0.033,0.876,8.67,5
78500,1586.79,747.27,-0.057,-0.063,0.956,8.67,5
78600,1583.7,747.48,0.017,-0.055,1.151,9.04,5
78700,1582.22,747.64,-0.06,-0.061,1.064,8.86,5
78800,1580.67,747.83,-0.049,0.008,0.994,8.97,5
78900,1577.33,748.06,0.039,0.125,1.068,8.58,5
79000,1574.7,748.33,-0.03,-0.017,0.867,8.97,5
79100,1572.22,748.59,0.08,-0.024,0.903,9.07,5
79200,1569.64,748.71,0.013,-0.038,1.103,8.87,5
79300,1567.88,749.01,-0.004,0.048,0.858,8.79,5
79400,1563.56,749.15,0.001,0.005,0.857,8.8,5
79500,1562.92,749.39,-0.075,0.035,0.948,9.07,5
79600,1560.27,749.69,-0.02,-0.056,0.915,9.0,5
79700,1557.97,749.86,0.065,-0.061,1.016,9.24,5
79800,1556.16,750.05,-0.024,0.006,1.003,8.75,5
79900,1553.0,750.34,-0.002,0.071,1.066,8.79,5
80000,1550.05,750.51,-0.012,0.054,1.117,8.95,5
80100,1548.54,750.68,-0.055,-0.069,1.136,8.93,5
80200,1546.19,750.98,0.085,0.017,0.997,8.88,5
80300,1543.61,751.12,0.054,-0.062,0.982,9.1,5
80400,1541.36,751.41,0.083,0.039,1.006,9.08,5
80500,1539.34,751.67,0.131,0.01,0.908,8.96,5
80600,1536.79,751.88,0.064,0.029,0.997,8.95,5
80700,1534.36,752.02,0.06,-0.016,1.054,9.17,5
80800,1532.09,752.36,0.011,0.036,0.909,8.88,5
80900,1528.18,752.49,-0.001,0.037,1.098,9.22,5
81000,1526.68,752.77,-0.017,0.025,0.863,8.94,5
81100,1524.21,752.96,0.059,0.003,1.281,9.49,5
81200,1523.93,753.17,-0.115,0.022,1.057,8.93,5
81300,1519.16,753.33,0.004,-0.031,0.97,9.3,5
81400,1517.16,753.7,0.044,-0.071,0.997,9.21,5
81500,1515.46,753.83,-0.085,0.057,0.985,9.1,5
81600,1511.64,754.07,-0.051,-0.032,0.988,8.99,5
81700,1510.46,754.3,-0.028,-0.06,0.969,9.1,5
81800,1507.83,754.56,-0.003,0.004,0.947,9.18,5
81900,1504.68,754.74,0.003,-0.048,0.998,9.42,5
82000,1502.63,754.96,0.039,-0.05,1.063,9.36,5
82100,1500.58,755.09,0.003,-0.006,1.009,9.28,5
82200,1498.36,755.42,-0.048,0.001,1.04,9.33,5
82300,1495.5,755.65,-0.004,0.073,0.862,9.53,5
82400,1493.26,755.91,-0.078,-0.043,0.976,9.52,5
82500,1491.2,756.02,0.028,0.08,0.937,9.24,5
82600,1488.87,756.35,0.06,-0.004,1.148,9.6,5
82700,1486.59,756.5,0.074,0.029,0.921,9.37,5
82800,1484.16,756.73,-0.004,0.034,0.942,8.95,5
82900,1480.9,757.04,-0.08,0.089,0.964,9.44,5
83000,1478.74,757.16,0.101,-0.034,1.006,9.42,5
83100,1477.04,757.44,-0.087,-0.083,0.983,9.61,5
83200,1473.83,757.64,-0.056,0.017,1.168,9.33,5
83300,1471.94,757.94,0.097,0.13,0.967,9.1,5
83400,1468.57,758.11,-0.017,-0.036,1.007,9.61,5
83500,,758.26,-0.056,0.019,1.016,9.32,5
83600,1464.45,758.51,0.08,-0.032,1.085,9.5,5
83700,1462.12,758.8,0.077,-0.065,1.087,9.46,5
83800,1459.83,758.95,-0.027,0.011,1.007,9.62,5
83900,1457.15,759.27,-0.008,-0.046,0.877,9.38,5
84000,1454.92,759.41,0.036,-0.003,1.037,9.5,5
84100,1451.79,759.67,-0.033,-0.03,0.973,9.36,5
84200,1449.71,759.95,-0.009,0.009,0.936,9.39,5
84300,1448.15,760.17,-0.01,0.03,1.067,9.6,5
84400,1446.42,760.39,-0.062,-0.011,1.204,9.62,5
84500,1443.0,760.64,0.084,0.044,0.868,9.63,5
84600,1440.17,760.74,0.011,0.105,1.052,9.68,5
84700,1439.08,761.05,-0.049,0.089,1.13,9.47,5
84800,1434.37,761.17,-0.002,0.017,0.963,9.7,5
84900,1433.52,761.43,0.032,0.049,0.993,9.65,5
85000,1431.16,761.59,0.041,0.061,0.903,9.89,5
85100,1427.94,761.82,-0.109,0.006,1.111,9.77,5
85200,1426.64,762.12,-0.08,-0.069,1.047,9.81,5
85300,1424.43,762.31,0.061,-0.021,0.929,9.87,5
85400,1420.97,762.62,0.019,-0.054,0.926,9.69,5
85500,1418.11,762.86,-0.047,-0.052,0.913,9.75,5
85600,1416.88,762.98,-0.002,-0.008,0.974,9.73,5
85700,1414.16,763.28,0.127,-0.054,0.909,9.79,5
85800,1411.79,763.42,0.043,-0.067,1.056,9.7,5
85900,1408.44,763.64,-0.035,-0.077,0.857,9.72,5
86000,1406.12,763.92,-0.001,0.023,0.971,9.72,5
86100,1405.61,764.09,-0.087,0.014,1.104,9.89,5
86200,1401.63,764.4,0.125,0.07,0.967,9.96,5
86300,1399.72,764.57,-0.092,-0.121,1.01,9.87,5
86400,1397.34,764.81,-0.053,-0.062,0.972,9.76,5
86500,1394.85,765.0,-0.015,-0.005,1.003,9.75,5
86600,1392.81,765.32,0.069,-0.124,1.018,9.94,5
86700,1389.89,765.53,0.008,-0.023,0.876,9.93,5
86800,1387.03,765.61,-0.051,0.011,0.88,9.82,5
86900,1385.54,766.01,0.05,0.051,1.221,9.91,5
87000,1383.75,766.16,-0.016,-0.005,1.075,9.81,5
87100,1380.27,766.36,-0.026,0.007,1.157,10.09,5
87200,1377.34,766.56,-0.053,-0.075,0.98,10.11,5
87300,1374.9,766.87,0.026,0.062,0.808,9.69,5
87400,1373.41,766.98,0.072,-0.002,0.869,10.16,5
87500,1370.9,767.29,-0.097,-0.06,1.103,10.11,5
87600,1367.95,767.53,0.009,-0.021,1.046,10.05,5
87700,1366.76,767.67,-0.037,0.017,1.005,10.05,5
87800,1364.33,767.95,0.048,0.024,0.878,10.15,5
87900,1361.17,768.25,0.088,0.06,0.856,9.98,5
88000,1358.2,768.4,-0.014,0.025,1.15,10.6,5
88100,1356.39,768.61,-0.061,0.039,1.052,9.95,5
88200,1354.16,768.83,0.033,-0.023,1.048,10.27,5
88300,1351.08,769.17,-0.024,-0.08,0.993,10.12,5
88400,1348.92,769.23,-0.079,-0.101,1.226,10.52,5
88500,1346.67,769.47,0.04,-0.065,0.997,10.2,5
88600,1344.91,769.83,0.119,-0.008,1.175,10.51,5
88700,1342.95,770.03,0.089,-0.128,0.987,10.08,5
88800,1339.81,770.14,-0.034,0.008,1.02,10.29,5
